,Title,Url,Time,Content
0,China HITS BACK with 25 per cent LEVY on 106 US products - US stocks PLUMMET,https://www.express.co.uk//news/world/941146/China-USA-tax-levy-trade-war-US-stock-shares-soybean-cars," 09:04, Wed, Apr 4, 2018 ","  GETTYChina hit USA with 25 per cent levy on 106 productsSoybean prices dived this morning as China announced its measures, while US stock futures fell further with S&P 500 Index contracts now down almost 0.7per cent.China confirmed it would levy 25 percent tariffs on imports of 106 US products including soybeans, automobiles, chemicals and aircraft, in response to proposed American duties on its high-tech goods.The Ministry of Commerce in Beijing said the charges will apply to around £36billion of US imports, matching the value of the goods targeted by Mr Trump's new measures. In a statement released Wednesday, China’s envoy to the World Trade Organisation, Zhang Xiangchen, said a list of planned charges on more than 1,300 product categories focused on its industrial machinery and technology exports was ""an intentional and gross violation of the WTO’s fundamental principles of non-discrimination and bound tariffs"". Related articles   Wall Street PLUNGES: US tech shares plummet as China triggers globa...   China and Russia strengthen ties against Western countries     The tariffs may have only a minor economic impact, increasing levies by $12.5 billion on Chinese shipments to the U.S. that reached $506 billion last year, amounting to an average tariff increase on overall imports from China of just 2.5 percent, , said Shane Oliver, the head of investment strategy at AMP Capital Investors Ltd in Sydney. The China director of the U.S. Soybean Export Council said China's decision to impose tariffs on imports of soybeans from the United States is 'regrettable' and 'won't solve the trade imbalance'.U.S. soybean futures fell more than 5 percent following the announcement. A Beijing-based soybean trader said there are growing concerns about the cancellation of previously purchased cargoes by the world's top buyer of the oilseed.Soybeans, the top U.S. agricultural export to China, were among the 106 U.S. products on which Beijing plans to impose an additional 25 percent in tariffs.The U.S. is the second-biggest soybean supplier, after Brazil, to China, the world's largest consumer of the bean.The move had been expected by the U.S. soybean industry, China Director Zhang Xiaoping told Reuters, despite the Council, which represents American soybean producers, having done ""everything"" to prevent it.China may still buy U.S. soybeans, despite the additional tariff, if the market needs supplies, said Zhang.He added: ""The main risk is that China’s response leads to a counter retaliation by the U.S. and a process of escalating tariffs that leads to a sharp slowing in trade between the two countries.""Speaking on CNBC, ambassador Cui Tiankai confirmed his country would respond “very soon”.He added: ""We will certainly respond accordingly. We will resort to the WTO — World Trade Organization — dispute settlement mechanism, and we’ll, in accordance with Chinese laws, take measures to fight back.  GETTYUS President Donald Trump has announced further trade tariffs targeting China""We certainly don't want to have any trade war with anybody, but people have to understand who started all this.”Yesterday’s White House announcement unveiled a list Tuesday of Chinese imports the administration proposes to target as part of a crackdown on what Mr Trump believes to be unfair trade practices.Sectors targeted include products used for robotics, information technology, communication technology and aerospace.Mr Tiankai warned China’s response would be “maybe with the same intensity, the same scale”.  GETTYChinese ambassador Cui Tiankai had warned China would hit backWashington is particularly unhappy about Beijng’s practice of requiring foreign companies to hand over technological know-how in order to gain access to its domestic market.But Mr Tiankai said the US had not offered specific examples of when China had forced companies to do this.And he questioned what Mr Trump’s aggressive stance would achieve.He said: “Such protectionism will not protect anybody. Donald Trump's Asia tour in pictures Mon, November 13, 2017Donald Trump and Melania Trump embark on a 12-day trip to five different Asian nations which are Japan, South Korea, China, Vietnam and the Philippines Play slideshow  REUTERS1 of 100Thailand's PM Prayut Chan-o-Cha, Vietnam's PM Nguyen Xuan Phuc, U.S. President Trump, Philippine's President Rodrigo Duterte and Singapore's PM Lee Hsien Loong pose for a family photo during the ASEAN-US 40th Anniversary commemorative Summit in Manila          {% var pictureLinkTpl = ""/pictures/pics/2222/3333/1111""; %}        {% var oldThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/116x87/{id}.jpg""; %}        {% var newThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/64x64/{id}.jpg""; %}        {% for (var i in o.thumbs) { %}            {% if (i > 6) { break; } %}            {% var thumb = o.thumbs[i]; %}            <li class=""{% if (i == 0) { %}active {% } %}jcarousel-item jcarousel-item-horizontal jcarousel-item-{%=thumb.position%} jcarousel-item-{%=thumb.position%}-horizontal"">                <{%='a'%} href=""{%=pictureLinkTpl.replace('1111', thumb.id).replace('2222', thumb.gallery_id).replace('3333', thumb.gallery_slug)%}"">                    {% var src = newThumbUrlTpl; %}                    {% if (thumb.largestimage == '517x') { %}                        {% var src = oldThumbUrlTpl; %}                    {% } %}                    <img class=""loaded"" src=""{%=src.replace('{id}', thumb.id)%}"" alt=""{%=thumb.alt%}"" title=""{%=thumb.title%}"" width=""{%=thumb.width%}"" height=""{%=thumb.height%}"">                </{%='a'%}>            </li>        {% } %}    “It will not protect American workers or American farmers. It will not protect American businesses or American consumers. It will hurt everybody including the U.S. economy itself.""He stressed that the two economic were “so closely interconnected"" that ""any unilateral measures will hurt the other side, but the end result would be that it would hurt itself”.He added: ""We have done the utmost to avoid this kind of situation, but if the other side makes the wrong choice, then we have no alternative but to fight back.“In today's global economy, almost everything is interconnected. So when people take some wrong measures, when people take some protectionist measure, it will hurt people's confidence in the overall prospects for the economy. It may hurt finance, it may hurt trade, it may hurt economic performance, it may hurt consumer confidence — everything.”We are always ready to continue and intensify our dialogue and communication with the U.S. side on any possible economic or trade issues, but we need reciprocity. Our goodwill has to be met by the same degree of goodwill."""
1,Easter Christian crackdown: China arrests worshippers and BANS church groups,https://www.express.co.uk//news/world/938961/easter-christians-china-arrests-ban," 18:11, Thu, Mar 29, 2018 ","   Authorities have imposed an effective ban Christian gatherings and police are requiring Christians to report where they are going every time they leave their homes in the Henan Province.Worshippers have been placed under house arrest with Christians afraid to attend church groups amid fears the crackdown is worsening. An anonymous source said it feels like the Cultural Revolution all over again.They said: “I heard that many churches in Sheqi County also received notice that all believers cannot gather anymore. Related articles   Where Christmas was BANNED: China’s Christians suffer brutal crackd...   China sends 100 Christians to ‘re-education’ camps  “Christians are afraid of gathering and they don’t have anywhere to gather either. “Times have changed. It feels like the Cultural Revolution.”These shocking claims come from the US-based group ChinaAid, which reports religious persecution.The Cultural Revolution was between 1966 and 1976 when Mao Zedong tried to enforce atheism as the official religious belief of the Communist Party and sought to eradicate all influences besides Communism.   AFPThe Chinese government is cracking down on Churches in the Communist stateChurches in Gushi County have also reportedly been notified about the banning of religious activities.In the nearby Tanghe County authorities have told house churches to register with the government operated Three-Self Church and those who attend a house church will be fined £3,349.Earlier this month a Chinese priest shared a video of authorities tearing down crosses from a local Catholic Church in Henan during a major raid. The cathedral was sanctioned by the government and it was reported that this was the first time crosses were removed from a Catholic church in that area.  GETTYChristians in China's Henan Province have reportedly been put on house arrestChinaAid President Bob Fu told The Christian Post: “The top leadership is increasingly worried about the rapid growth of the Christian faith and their public presence, and their social influence.“It is a political fear for the Communist Party, as the number Christians in the country far outnumber the members of the party.”In February Express.co.uk reported more than 100 Christians were sent to “re-education” camps where they were believed to be taught to be loyal to the country’s ideologies.These so-called “mind-transformation centres” instructed detainees to be loyal to China and not their religion, according to persecution watchdog Open Doors.   GETTYA deal has yet to be struck between the Vatican and the Chinese governmentThe Chinese Communist Party has launched a major crackdown on religion in recent years in an attempt to oppress religious freedom and exercise control.Churches not sanctioned by the government have been put under surveillance with hundreds of Christians arrested for disturbing public order for offences such as holding bible study groups and displaying crucifixes outside their homes. There have been reports of Christians being banned from praying, singing hymns, crosses removed from buildings and people arrested for attending church services.The dialogue continues between The Vatican and China on reaching a deal that would lead to diplomats relations between the Holy See and Beijing.    A statement followed reports in China quoting a bishop backed by the Beijing government as saying that a long-awaited deal would be signed by the end of March.A senior Vatican source said earlier on Thursday that the Vatican still did not know precisely when a Chinese delegation was due to come to Rome.Catholics in China are split between those in ""underground"" communities that recognise the pope and those belonging to a state-controlled Catholic Patriotic Association where bishops are appointed by the government in collaboration with local Church communities. Under the formal deal, the Vatican will have a say in negotiations for the appointment of future bishops.Some Catholic leaders outside China, particularly Cardinal Joseph Zen, 86, the outspoken former bishop of Hong Kong, has been highly critical of the accord, saying the Vatican would be ""selling out"" to China's Communist Party."
2,China in bid for CLOSER relations with Russia as Putin and Jinping unite against Trump,https://www.express.co.uk//news/world/1016647/China-russia-usa-putin-eastern-economic-forum-latest," 17:39, Wed, Sep 12, 2018 ","   During a speech at the Easterm Economic Forum in Vladivostok, Russia, Chinese President Xi Jinping said Beijing’s relationship with Russia is at an “all time high” as he called for further investments in Russia.The event marked the third time Xi and his Russian counterpart have met this year.China is fighting a trade war with the US and Russia’s economy is in need of a boost as tensions remain high with the UK and the US as Moscow is accused of interfering in the 2016 US presidential election and of being behind the poisoning of the former Russian spy Sergei Skripal in Salisbury.Trade turnover between Russia and China increased 50 pe cent in the first half of 2018 with the total expected to reach $100 billion by the end of the year.  Putin and Jinping have forged a new bromance against the US (Image: GETTY) Related articles   Russia accuses US of dropping ‘BANNED’ phosphorous bombs over Syria   North Korea IN PICTURES: Kim Jong-un in huge show of force   China and Russia are the biggest neighbours, we have solid political tiesXi JinpingVladimir Putin said Russia welcomes more investment by Chinese companies and will offer good conditions to encourage more exchanges with China.Xi said: “China has always been and is still a participant in development projects in the eastern part of Russia.“We have unique geographic benefits. China and Russia are the biggest neighbours, we have solid political ties … Chinese and Russian relationships are at an all time high level.”  Putin has been accused of interfering with the US 2016 elections (Image: GETTY)Assistant foreign minister in China, Zhang Hanhui, said the China-Russia partnership has progressed well and is in a new era and Xi’s participation will guide bilateral relations to maintain high-level development.On Tuesday, Xi said China and Russia would promote “the political resolution of hotspot issues, resolutely upholding the UN charters and principles and standing firm against unilateralism and protectionism to construct a new type of international relations and a community of shared future for mankind.”  Trump has slapped China with tariffs (Image: GETTY)Last year, China and Russia held their first joint naval drill in the Baltic Sea and this month China will send 3,200 troops, 900 pieces of weaponry and 30 aircrafts to take part in a Russian military exercise.China’s Global Times newspaper said China and Russia could “create a vital influence” when the two countries worked together.Senior Associate Professor Stephen Nagy from Tokyo's prestigious International Christian University told ABC News: “China is feeling the heat, so by strengthening relations with Russia, stressing comradeship between Xi Jinping and Vladimir Putin, the growing economic and military tie — this is a way to send a message to the United States that China does have options and Russia is a powerful option that can provide energy resources as well.”"
3,RBS may sell China stake,https://www.express.co.uk//finance/city/79143/RBS-may-sell-China-stake," 00:00, Fri, Jan 9, 2009 ",None
4,China Belt and Road deal: New initiative could EXPAND global trade but cause debt TRAP,https://www.express.co.uk//news/world/1119268/china-belt-and-road-deal-initiative-forum-2019-silk-road," 11:39, Fri, Apr 26, 2019 ","    var brightcoveBrandsafety='' Almost 40 world leaders are in Beijing for the second summit in three years to discuss China’s ambitious Belt and Road Initiative (BRI). The programme, aimed at stimulating global economic growth through the creation of an international corridor of land and naval trading routes, could cost a mind-boggling $1 trillion (£774.9 billion). The BRI is forecast to account for one third of the world’s Gross Domestic Product (GDP) in the future, according to the EU-owned European Bank for Reconstruction and Development (EBRD). Related articles   Italy IGNORES EU warnings over China’s ‘colonisation of Europe’   Philip Hammond secures ‘golden era of China relations’  But International Monetary Fund Managing Director Christine Lagarde today issued a note of caution about the project to attendees at this week’s three-day summit.She said: ”History has taught us that, if not managed carefully, infrastructure investments can lead to a problematic increase in debt.""I have said before that, to be fully successful, the Belt and Road should only go where it is needed.""I would add today that it should only go where it is sustainable, in all aspects.""  China Belt and Road deal: World leaders are discussing the intercontinental project in Beijing (Image: Getty)What is the Belt and Road Initiative (BRI)?BRI is China’s attempt to create a modern-day version of the Silk Road, the ancient trade routes between Europe and Asia.The trans-continental passageways would see the development of six land transport routes, plus a maritime passage via seas in southeast Asia and across the Atlantic Ocean.The brainchild of Chinese President Xi Jinping, the initiative currently incorporate 70 countries across Europe, the Middle East, Asia and the South Pacific. Related articles   EU CIVIL WAR: Italy 'MUST GO GLOBAL' and strike China deal DESPITE EU   EU POWER GRAB: Brussels chief wants veto over NATIONAL LAWS    China Belt and Road deal: Chancellor Philip Hammond wants the UK to be part of the project (Image: EPA)The multi-billion pound scheme would see huge amounts of infrastructure being developed for necessary ports, roads, railways and airports, as well as communication systems.But BRI has attracted its fair share of critics who are concerned about some countries being saddled with unplayable amounts of debt.India, which has shunned the event for a second time, has been a vocal critic saying BRI will push poorer countries into a “debt trap”.The USA has also previously attacked China for its alleged “debt diplomacy”.  China Belt and Road deal: Russia's President Putin is at the 2019 Belt and Road forum (Image: AFP/Getty)Reports have abounded about countries such as Sri Lanka and Pakistan being burdened with huge Chinese loans benefiting Beijing’s leaders.China has defended its scheme vigorously as Italy this week became the first G7 country to officially endorse BRI.Ms Lagarde told the 2019 conference Chinese authorities are making positive steps with a new debt sustainability framework to help project partners and green initiative elements.She called for a “Belt and Road 2.0” incorporating increased transparency, better risk management and an open procurement process for contract bids.Chancellor Philip Hammond also confirmed Britain’s commitment to the programme and offered UK experts in project financing."
5,World War 3: Seoul & China nuclear ambassadors to 'BEEF UP' strategy against North Korea,https://www.express.co.uk//news/world/900204/world-war-3-north-korea-south-korea-china-nuclear-winter-olympics-2018," 17:30, Thu, Jan 4, 2018 ","   Lee Do-hoon, the special representative for Korean Peninsula peace and security affairs, will meet with his Chinese counterpart Kong Xuanyou in Seoul on Friday, according to the foreign ministry.The diplomats will meet to discuss efforts to improve “strategic communication” regarding Pyongyang’s nuclear arsenal and share assessments of North Korean leader Kim Jong-un’s decision to include his hermit state in the 2018 Winter Olympics.Noh Kyu-duk, foreign ministry spokesman, told a press briefing: “The meeting will be held as part of efforts to beef up strategic communication regarding the North's nuclear problem in line with the agreement reached at a summit between the two countries last year.“They will also share their assessments of the situation on the Korean Peninsula in the wake of the North's announcement in the New Year's Day speech and have in-depth discussion on the direction of their future plans.”  GETTYSouth Korea and China nuclear envoys to meet to 'beef up' strategy against North Korea Related articles   Trump vs Xi: Battle of egos could see US relations with China plummet   Donald Trump ‘paving way for WAR’ with Iran, Macron slams US   REUTERSDonald Trump boasted on Twitter that his nuclear button was 'bigger and more powerful' than Kim'sIn his New Year’s address, Kim suggested North Korea would allow athletes from the rogue nation to participate in the Winter Olympics in Pyeongchang.But one expert believes Kim could exploit the Winter Olympics to showcase his military strength in front of the world - despite offering an olive branch to neighbouring South Korea.Defence expert Harry Kazianis said: ""Of course, the South Koreans are going to try and make the best of it but I guarantee the North Koreans are going to use this for propaganda advantage.""They are going to test an ICBM, or nuclear weapon, or try to hack these Olympics. They are not going to do nothing. They are going to do something."" North Korea celebrates new year with terrifying war-themed display Tue, January 2, 2018North Korea residents celebrated New Year’s Eve with a chilling fireworks display while despot leader Kim Jong-un used his message to threaten nuclear war on Donald Trump Play slideshow  REUTERS1 of 7Fireworks are seen above the Taedong River during New Year celebrations as visitors pose for a photo in front of an ice sculpture of an intercontinental ballistic missile at the Pyongyang Ice Sculpture Festival in Kim Il Sung Square in Pyongyang          {% var pictureLinkTpl = ""/pictures/pics/2222/3333/1111""; %}        {% var oldThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/116x87/{id}.jpg""; %}        {% var newThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/64x64/{id}.jpg""; %}        {% for (var i in o.thumbs) { %}            {% if (i > 6) { break; } %}            {% var thumb = o.thumbs[i]; %}            <li class=""{% if (i == 0) { %}active {% } %}jcarousel-item jcarousel-item-horizontal jcarousel-item-{%=thumb.position%} jcarousel-item-{%=thumb.position%}-horizontal"">                <{%='a'%} href=""{%=pictureLinkTpl.replace('1111', thumb.id).replace('2222', thumb.gallery_id).replace('3333', thumb.gallery_slug)%}"">                    {% var src = newThumbUrlTpl; %}                    {% if (thumb.largestimage == '517x') { %}                        {% var src = oldThumbUrlTpl; %}                    {% } %}                    <img class=""loaded"" src=""{%=src.replace('{id}', thumb.id)%}"" alt=""{%=thumb.alt%}"" title=""{%=thumb.title%}"" width=""{%=thumb.width%}"" height=""{%=thumb.height%}"">                </{%='a'%}>            </li>        {% } %}    The news comes as US President Donald Trump mocked Kim on Twitter by boasting that he had a “bigger and more powerful” nuclear button, following a threat from the chubby dictator who he can nuke anywhere in the USA by pressing a button on his desk.Mr Trump tweeted: “North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times. “Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger & more powerful one than his, and my Button works!”"
6,"Wildlife heroes save nearly 4,000 endangered turtles destined for China's kitchens",https://www.express.co.uk//news/nature/589724/Turtles-China-endangered-turtles-wildlife-heros," 13:49, Wed, Jul 8, 2015 ","  PHHeroes rescued the 3,800 illegally harvested Palawan forest turtlesTime was running out for thousands of critically endangered creatures locked up in a warehouse and destined for the dinner bowls of China. Many were starving, thirsty and suffering from injuries. Luckily, conservation heroes rescued the 3,800 illegally harvested Palawan forest turtles and are now nursing them so they can be released back into the wild. These rare and fascinating nocturnal reptiles were once thought to have become extinct only to be rediscovered on the Philippine island of Palawan in 2004. Over the past decade, they have become highly prized not only by turtle collectors but also Chinese food connoisseurs, creating a lucrative blackmarket and, once again, putting the species at threat of oblivion. The Palawan forest turtle, scientific name Siebenrockiella leytensis, is one of the most endangered reptiles in the world and has fallen foul of a similar sophisticated crime network used to ship ivory and tiger bones across the Far East.  Related articles   Top 10 facts about turtles   The joy of turning turtle: Swimming with the wildlife of the Great...  We've given a second chance to a lot of turtlesRick HudsonConservationists were shocked by the number illicit turtles being kept in appalling conditions when the authorities raided the Palawan warehouse late last month. There were more turtles inside the warehouse than experts believed still survived in the wild and many were in an appalling condition, suffering from bone infections, emaciation, dehydration and septicemia. Vets and experts from an international consortium, including the Wildlife Conservation Society, Bronx Zoo, Turtle Conservancy and Turtle Survival Alliance have been working to save the animals, setting up a triage to see which ones can be released and those that need treatment. WCS's Bronx Zoo Senior Veterinarian Dr John Sykes said: ""The situation is a difficult one when you consider the treatment of these animals, the neglect they have suffered, and poor condition that many are in. But it is inspiring to see a quick response and people from different groups sharing their expertise and coming together to pitch in to help save these endangered animals.""   PHThe turtles are being nursed back to full healthSadly, 358 turtles have died but 3,000 are being released back into the wild. The work continues. Fort Worth Zoo Biologist and Turtle Survival Alliance President Rick Hudson said: ""The outpouring of support for this crisis has been phenomena, in particular the unified response from the turtle conservation community. Together, through teamwork and sharing resources, we have turned a dismal and chaotic situation into one of hope and order. And we've given a second chance to a lot of turtles."" Dr Sonja Luz, Director for Conservation and Research, Wildlife Reserves Singapore, added: ""The first days on site were overwhelming as we spent hours sorting out healthy animals from those that needed treatment. I am glad to see the amazing progress achieved by the various teams, and to know that the majority of animals have been released back to the wild; where they will hopefully remain in the future.""  PHConservationists were shocked by the number illicit turtles being kept in appalling conditions"
7,Chinese security boss reveals AI could be used to 'stop terror attacks and lower crime',https://www.express.co.uk//news/world/857748/china-terrorism-world-war-3-cyber-crime," 06:16, Sat, Sep 23, 2017 ","  GETTYChinese security boss to prevent terrorismMeng Jianzhu says data analysis can predict patterns which could stop terror attacks before they happen.The police in the surveillance state have enlisted the help of AI to determine who is going to commit a crime before it has happened.The head of the Chinese Community Party’s central commission for political and legal affairs, said the government would start to use AI software which uses machine learning, data mining and computer modelling to predict where crime and disorder is likely to occur. Related articles   World War 3: China warning: Iran could set ‘precedent’ for North Korea   Where does the expression ‘for all the tea in China’ come from? One of the ways China is hoping to use future technology is through facial recognition firm Cloud Walk which is trialling software that gathers data on where people are what they are doing.Cloud Walk spokesman Fu Xiaolong told the Financial Times: “The police are using a big-data rating system to rate highly suspicious groups of people based on where they go and what they do.”He added that the risk rises if the person “frequently visits transport hubs and goes to suspicious places like a knife store”. The Jobs Robots Are Already Stealing From Humans Fri, February 17, 2017 Play slideshow  Getty Images1 of 9CHEF: A start-up called Moley Robotics has invented a 100% automated, intelligent robot chef. The cooking automaton can learn recipes and techniques, whip up gourmet meals and even clean up after itself.          {% var pictureLinkTpl = ""/pictures/pics/2222/3333/1111""; %}        {% var oldThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/116x87/{id}.jpg""; %}        {% var newThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/64x64/{id}.jpg""; %}        {% for (var i in o.thumbs) { %}            {% if (i > 6) { break; } %}            {% var thumb = o.thumbs[i]; %}            <li class=""{% if (i == 0) { %}active {% } %}jcarousel-item jcarousel-item-horizontal jcarousel-item-{%=thumb.position%} jcarousel-item-{%=thumb.position%}-horizontal"">                <{%='a'%} href=""{%=pictureLinkTpl.replace('1111', thumb.id).replace('2222', thumb.gallery_id).replace('3333', thumb.gallery_slug)%}"">                    {% var src = newThumbUrlTpl; %}                    {% if (thumb.largestimage == '517x') { %}                        {% var src = oldThumbUrlTpl; %}                    {% } %}                    <img class=""loaded"" src=""{%=src.replace('{id}', thumb.id)%}"" alt=""{%=thumb.alt%}"" title=""{%=thumb.title%}"" width=""{%=thumb.width%}"" height=""{%=thumb.height%}"">                </{%='a'%}>            </li>        {% } %}       In Shanghai, traffic police supposedly use facial recognition technology to identify cyclists and pedestrians who violate road regulations.Mr Meng said: “Artificial intelligence can complete tasks with a precision and speed unmatchable by humans, and will drastically improve the predictability, accuracy and efficiency of social management.”This all comes amid Europe’s recent terrorists attacks.  GettyChinese traffic police now use facial recognition   GETTYMeng JianzhuMr Meng also said security forces should look for patterns in data about terror attacks and build an analysis model to help authorises predict where the attack may strike, Chinese news website the paper.cn reported.He added that security services should break down any barriers in data sharing to enable the smooth integration of various systems and called for renewed efforts to integrate all the footage from surveillance cameras around the country.Critics of the new idea have already raised concerns about how Beijing’s use of advanced technology will allow them to tighten its control over its subjects."
8,Building for the future,https://www.express.co.uk//life-style/property/85612/Building-for-the-future," 00:00, Fri, Feb 20, 2009 ",None
9,Chinese President Xi Jinping reaches out to USA in bid to ease trade tensions,https://www.express.co.uk//news/world/944105/usa-china-trade-war-donald-trump-president-xi-tariffs," 16:10, Tue, Apr 10, 2018 ","   While most of the pledges were reiterations of previously announced measures, Xi's comments sent U.S. stock futures, the dollar and Asian shares higher.Xi said that China will sharply widen market access for foreign investors, a chief complaint of the country's trading partners and a point of contention for U.S. President Donald Trump's administration, which has threatened billions of dollars in tariffs on Chinese goods.The speech at the Boao Forum for Asia in the southern province of Hainan had been widely anticipated as one of Xi's first major addresses in a year in which the ruling Communist Party marks the 40th anniversary of its landmark economic reforms and opening up under former leader Deng Xiaoping.Xi said China would raise the foreign ownership limit in the automobile sector “as soon as possible” and push previously announced measures to open the financial sector. Related articles   USA ready for trade war with China warns Trump Treasury chief   Dow SOARS 400 points as US China trade war tensions ease    REUTERS/GETTYPresident Xi Jinping promised to lower import tariffs seen as a move to pacify trade tensions  GETTYChinese workers transferring bags of soybean meal This year, we will considerably reduce auto import tariffsChinese President Xi Jinping“This year, we will considerably reduce auto import tariffs, and at the same time reduce import tariffs on some other products,” Xi said.He also said “Cold War mentality” and isolationism would “hit brick walls”.Chinese officials have been promising since at least 2013 to ease restrictions on foreign joint ventures in the auto industry, which would allow foreign companies to take a majority stake.Chinese Vice Premier Liu He promised at the World Economic Forum in January that China would roll out fresh market openings this year, and that it would lower auto import tariffs in an “orderly way”. Donald Trump's Asia tour in pictures Mon, November 13, 2017Donald Trump and Melania Trump embark on a 12-day trip to five different Asian nations which are Japan, South Korea, China, Vietnam and the Philippines Play slideshow  REUTERS1 of 100Thailand's PM Prayut Chan-o-Cha, Vietnam's PM Nguyen Xuan Phuc, U.S. President Trump, Philippine's President Rodrigo Duterte and Singapore's PM Lee Hsien Loong pose for a family photo during the ASEAN-US 40th Anniversary commemorative Summit in Manila          {% var pictureLinkTpl = ""/pictures/pics/2222/3333/1111""; %}        {% var oldThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/116x87/{id}.jpg""; %}        {% var newThumbUrlTpl = ""https://cdn.images.express.co.uk/img/dynamic/galleries/64x64/{id}.jpg""; %}        {% for (var i in o.thumbs) { %}            {% if (i > 6) { break; } %}            {% var thumb = o.thumbs[i]; %}            <li class=""{% if (i == 0) { %}active {% } %}jcarousel-item jcarousel-item-horizontal jcarousel-item-{%=thumb.position%} jcarousel-item-{%=thumb.position%}-horizontal"">                <{%='a'%} href=""{%=pictureLinkTpl.replace('1111', thumb.id).replace('2222', thumb.gallery_id).replace('3333', thumb.gallery_slug)%}"">                    {% var src = newThumbUrlTpl; %}                    {% if (thumb.largestimage == '517x') { %}                        {% var src = oldThumbUrlTpl; %}                    {% } %}                    <img class=""loaded"" src=""{%=src.replace('{id}', thumb.id)%}"" alt=""{%=thumb.alt%}"" title=""{%=thumb.title%}"" width=""{%=thumb.width%}"" height=""{%=thumb.height%}"">                </{%='a'%}>            </li>        {% } %}    Foreign business groups welcomed Xi's commitment to reforms, including promises to strengthen legal deterrence on intellectual property violators, but said the speech fell short on specifics.“Ultimately US industry will be looking for implementation of long-stalled economic reforms, but actions to date have greatly undermined the optimism of the US business community,” Jacob Parker, vice president of China operations at the US-China Business Council, said.Beijing charges that Washington is the aggressor and spurring global protectionism, although China's trading partners have complained for years that it abuses World Trade Organisation rules and practices unfair industrial policies that lock foreign companies out of crucial sectors with the intent of creating domestic champions.While China has recently expressed optimism that the two sides would hammer out a trade deal, Chinese officials in recent days have said negotiations would be impossible under “current circumstances”."
